EmployeeID,Age,Gender,Department,JobRole,EducationField,MonthlyIncome,YearsAtCompany,TotalWorkingYears,JobSatisfaction,WorkLifeBalance,Attrition
1,22,Male,Marketing,Marketing Executive,Medical,89196,2,2,2,2,No
2,22,Female,IT,Developer,Marketing,85990,0,0,1,2,No
3,21,Female,IT,BI Analyst,Life Sciences,114194,0,1,3,2,No
4,27,Female,Sales,Sales Manager,Life Sciences,94342,5,6,1,4,No
5,60,Female,Operations,Operations Manager,Life Sciences,75407,11,29,1,1,No
6,45,Female,HR,HR Executive,Finance,120638,8,22,2,3,No
7,59,Female,Marketing,Marketing Executive,Finance,165021,20,25,2,2,No
8,41,Male,Marketing,Marketing Executive,Medical,33414,1,8,3,4,No
9,34,Male,Marketing,Marketing Manager,Finance,128712,10,13,4,2,No
10,58,Male,Operations,Operations Manager,Medical,129700,13,31,3,2,No
11,24,Female,IT,Developer,Medical,66938,0,1,4,1,No
12,28,Female,Finance,Analyst,Life Sciences,114174,8,8,1,3,No
13,53,Male,Marketing,Marketing Manager,Medical,52894,5,21,3,2,No
14,59,Female,Operations,Operations Executive,Marketing,30105,10,25,1,3,No
15,57,Female,Sales,Sales Executive,Medical,152399,2,7,1,2,Yes
16,54,Female,HR,HR Manager,Human Resources,80521,19,32,2,3,No
17,28,Male,Operations,Operations Manager,Medical,41784,3,4,3,1,No
18,25,Male,HR,HR Executive,Medical,85015,5,5,1,1,No
19,52,Female,HR,HR Manager,Marketing,59684,6,23,4,2,No
20,48,Male,Sales,Sales Executive,Life Sciences,132767,11,24,4,1,No
21,27,Female,IT,BI Analyst,Human Resources,74862,3,4,4,2,No
22,49,Male,HR,HR Executive,Marketing,38261,17,18,1,1,No
23,51,Female,IT,IT Manager,Technical Degree,40370,6,18,2,4,Yes
24,48,Male,IT,BI Analyst,Medical,152577,17,27,2,2,No
25,41,Male,Marketing,Marketing Executive,Marketing,178138,1,2,4,2,Yes
26,36,Female,Sales,Sales Executive,Finance,174336,12,12,2,1,No
27,37,Female,Operations,Operations Manager,Human Resources,107361,6,16,2,3,No
28,21,Female,Finance,Analyst,Life Sciences,44204,1,1,2,3,Yes
29,39,Female,HR,HR Manager,Finance,167401,5,12,3,1,No
30,37,Male,Sales,Sales Executive,Finance,53058,3,17,2,3,No
31,37,Female,Finance,Analyst,Life Sciences,90829,16,17,1,1,No
32,29,Male,Sales,Sales Manager,Medical,140824,4,5,4,1,Yes
33,58,Male,Sales,Sales Manager,Technical Degree,137666,17,21,2,1,No
34,27,Male,HR,HR Executive,Human Resources,131529,5,7,2,2,No
35,42,Male,Sales,Sales Executive,Human Resources,94941,13,16,2,1,No
36,50,Female,HR,HR Executive,Technical Degree,84662,11,20,2,1,No
37,38,Female,Finance,Analyst,Marketing,165565,11,17,3,1,Yes
38,23,Male,Operations,Operations Manager,Human Resources,115619,0,3,3,4,No
39,37,Female,Operations,Operations Executive,Medical,25443,1,14,2,3,No
40,40,Male,Finance,Analyst,Marketing,132057,16,18,3,4,No
41,32,Female,IT,IT Manager,Medical,131450,9,11,1,3,No
42,50,Female,Operations,Operations Manager,Medical,81020,14,28,4,2,No
43,26,Male,Marketing,Marketing Manager,Marketing,106374,6,6,2,2,Yes
44,50,Male,IT,Developer,Life Sciences,125657,13,19,4,4,No
45,32,Female,IT,Data Analyst,Finance,38164,12,12,2,1,No
46,49,Female,Operations,Operations Manager,Human Resources,136867,19,27,4,2,No
47,38,Female,Finance,Analyst,Marketing,87716,16,17,3,4,Yes
48,41,Male,Finance,Finance Manager,Finance,61273,17,17,2,2,No
49,47,Female,HR,HR Executive,Human Resources,167242,13,18,4,4,Yes
50,57,Female,Operations,Operations Executive,Medical,26545,12,27,3,3,No
51,52,Female,Marketing,Marketing Executive,Finance,139251,7,15,4,1,No
52,29,Male,HR,HR Manager,Human Resources,128290,9,9,1,1,No
53,37,Female,HR,HR Executive,Technical Degree,80485,12,14,4,3,No
54,26,Male,IT,BI Analyst,Finance,166405,3,3,1,3,No
55,36,Male,Sales,Sales Executive,Medical,64946,6,6,2,2,No
56,37,Male,HR,HR Manager,Technical Degree,55024,11,12,2,3,Yes
57,46,Male,Operations,Operations Manager,Medical,88661,6,8,1,3,No
58,55,Female,Sales,Sales Manager,Human Resources,122142,13,34,1,3,Yes
59,44,Female,Sales,Sales Manager,Medical,65105,20,23,4,2,No
60,50,Female,Operations,Operations Manager,Marketing,109490,13,21,2,1,No
61,42,Female,IT,IT Manager,Technical Degree,110200,0,15,2,4,Yes
62,56,Female,Finance,Finance Manager,Medical,75084,0,33,1,2,No
63,52,Male,HR,HR Manager,Technical Degree,49393,14,14,3,2,No
64,51,Female,Marketing,Marketing Manager,Technical Degree,115113,17,25,4,3,No
65,35,Male,Finance,Finance Manager,Marketing,75484,3,14,3,1,No
66,38,Male,HR,HR Manager,Technical Degree,51352,18,18,2,3,No
67,38,Female,Sales,Sales Executive,Life Sciences,170059,1,2,3,2,No
68,51,Female,Sales,Sales Manager,Life Sciences,114314,15,29,2,1,No
69,52,Female,Sales,Sales Manager,Life Sciences,39053,2,20,2,2,No
70,56,Female,HR,HR Executive,Medical,84162,13,32,4,4,No
71,57,Male,IT,BI Analyst,Marketing,51013,19,20,2,2,No
72,56,Female,HR,HR Executive,Technical Degree,25701,2,12,4,4,No
73,39,Male,Sales,Sales Executive,Human Resources,43659,9,16,2,3,No
74,30,Female,Sales,Sales Executive,Medical,62286,4,10,1,1,Yes
75,49,Female,Marketing,Marketing Manager,Human Resources,104715,3,17,4,3,No
76,48,Male,Sales,Sales Executive,Finance,31780,10,18,1,2,No
77,32,Female,Finance,Analyst,Finance,140927,7,11,3,2,No
78,51,Female,IT,Developer,Human Resources,112374,11,24,3,1,No
79,39,Male,Marketing,Marketing Manager,Human Resources,144229,12,12,1,3,No
80,55,Female,Operations,Operations Executive,Finance,39209,14,27,2,3,No
81,34,Female,IT,Developer,Life Sciences,59344,4,12,3,4,No
82,31,Male,Sales,Sales Executive,Human Resources,169769,4,4,4,1,No
83,52,Male,Sales,Sales Executive,Human Resources,96676,9,25,4,4,No
84,45,Female,Operations,Operations Executive,Technical Degree,158232,6,25,2,1,No
85,21,Female,Operations,Operations Manager,Technical Degree,178862,1,1,4,2,No
86,50,Female,Finance,Finance Manager,Life Sciences,87601,10,16,4,2,No
87,45,Female,Finance,Finance Manager,Life Sciences,64873,12,22,4,1,No
88,54,Female,IT,Developer,Technical Degree,62789,14,14,4,2,Yes
89,26,Female,Operations,Operations Manager,Medical,164885,6,6,4,3,No
90,36,Male,Sales,Sales Executive,Human Resources,48692,9,12,4,1,No
91,22,Male,HR,HR Manager,Marketing,39711,0,1,3,3,No
92,57,Male,Operations,Operations Manager,Human Resources,70893,5,10,1,4,No
93,35,Female,Operations,Operations Executive,Technical Degree,145473,14,15,3,1,No
94,25,Female,Marketing,Marketing Executive,Technical Degree,179028,3,4,3,4,No
95,51,Female,HR,HR Manager,Life Sciences,124972,3,10,3,3,No
96,38,Male,Marketing,Marketing Manager,Medical,37856,0,18,4,3,No
97,33,Female,Finance,Analyst,Life Sciences,60855,9,11,1,1,No
98,29,Female,Operations,Operations Manager,Medical,110647,1,5,4,2,No
99,31,Male,Operations,Operations Manager,Marketing,102369,4,11,3,1,No
100,56,Female,HR,HR Manager,Technical Degree,128435,11,13,1,3,No
101,58,Female,Marketing,Marketing Manager,Medical,122379,12,32,1,2,No
102,50,Male,HR,HR Executive,Technical Degree,132032,9,29,1,2,Yes
103,27,Female,IT,Developer,Medical,60563,3,7,4,4,No
